rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,train/loss,train/policy_gradient_loss,train/approx_kl,train/learning_rate,train/value_loss,train/clip_range,train/explained_variance,train/entropy_loss,train/std,train/n_updates,train/clip_fraction
301.0,32768,1,57,568,-200.25322,,,,,,,,,,,
301.0,65536,2,136,480,-490.6837,61.76311111450195,0.31468285141745583,36.906696,0.01,109.04743263423443,0.2,-0.0003904104232788086,-5.867948900908232,1.0519211292266846,10,0.9969879150390625
301.0,98304,3,217,451,-496.8329,10.848359107971191,0.23118139041798713,1670.5548,0.01,36.845527972280976,0.2,-1.1920928955078125e-07,-6.119068118557334,1.1546549797058105,20,0.99334716796875
301.0,131072,4,299,438,-496.37216,33.62519073486328,0.22734208538458917,557.0416,0.01,79.14203794151544,0.2,0.0,-6.515796157158912,1.2530587911605835,30,0.99801025390625
301.0,163840,5,380,430,-496.77792,22.19557762145996,0.2254350558807346,319.21716,0.01,128.7236648157239,0.2,0.0,-6.548220695368945,1.2660092115402222,40,0.9989593505859375
301.0,196608,6,461,425,-496.71005,77.13064575195312,0.22363043726509205,532.3008,0.01,179.71352901235224,0.2,0.0,-6.69360332377255,1.3203083276748657,50,0.99952392578125
301.0,229376,7,543,422,-496.78372,63.077396392822266,0.21215555909257092,318.9928,0.01,196.0559754319489,0.2,0.0,-7.25047244746238,1.5178557634353638,60,0.999578857421875
301.0,262144,8,624,419,-496.77206,106.71216583251953,0.222945842432091,589.1429,0.01,268.76503470540047,0.2,0.0,-7.140332450345158,1.5383758544921875,70,0.9996002197265625
149.87,294912,9,705,417,-1867.3208,147.7360076904297,0.22320519298482394,1186.3065,0.01,291.4822157219052,0.2,0.0,-7.349050568416715,1.5965211391448975,80,0.99959716796875
301.0,327680,10,788,415,-436.9461,25862.318359375,0.27001595742558493,115.72139,0.01,39957.697129821776,0.2,0.0,-7.704800268448889,1.7000397443771362,90,0.9793182373046875
177.0,360448,11,870,414,-5028.924,1383.5750732421875,0.1994010586211516,292.3161,0.01,2329.2966757535933,0.2,0.0,-7.453118752501905,1.5726432800292969,100,0.9987548828125
176.98,393216,12,952,412,-5016.4883,1458875.625,0.19861909269075112,145.07388,0.01,1669989.3471679688,0.2,0.0,-7.1596891598775985,1.4667093753814697,110,0.9916046142578125
177.59,425984,13,1048,406,-5133.5205,1691369.875,0.20813923829555278,78.61365,0.01,1917150.7328308106,0.2,0.0,-7.183661108464003,1.4885238409042358,120,0.996478271484375
203.45,458752,14,1134,404,-4363.5474,1030531.875,0.20084433156298473,144.7894,0.01,1694340.1888061524,0.2,0.0,-7.021433271467686,1.4544947147369385,130,0.9977020263671875
301.0,491520,15,1219,402,-196.12263,618793.125,0.1976029968875082,228.82654,0.01,1157825.3405029296,0.2,0.0,-7.068083064071834,1.5237219333648682,140,0.998370361328125
301.0,524288,16,1307,401,-578.1337,6180.78466796875,0.17446602334566705,65.72444,0.01,156930.6771965027,0.2,0.0,-7.052818714268506,1.4500086307525635,150,0.993597412109375
301.0,557056,17,1392,400,-590.918,15291.3662109375,0.21693914893767213,143.01772,0.01,22562.91396331787,0.2,1.1920928955078125e-07,-7.118974869884551,1.5027589797973633,160,0.9881744384765625
301.0,589824,18,1477,399,-594.618,4003.421142578125,0.20907303191925167,223.94669,0.01,13087.513903808594,0.2,0.0,-8.271023959293961,1.9896228313446045,170,0.9911834716796875
301.0,622592,19,1561,398,-594.42975,4071.63037109375,0.21399046219066803,56.064857,0.01,10056.143072509765,0.2,0.0,-8.97701638713479,2.506471633911133,180,0.98809814453125
301.0,655360,20,1646,397,-540.4221,2123.573486328125,0.21796869623949533,185.34221,0.01,7243.480340862274,0.2,5.960464477539063e-08,-10.2379136454314,3.4148221015930176,190,0.990228271484375
179.56,688128,21,1732,397,-3712.6711,2765.674072265625,0.21857547029758279,228.49838,0.01,5167.09221906662,0.2,0.0,-10.853006296604871,3.9268741607666016,200,0.98687744140625
176.96,720896,22,1814,397,-3950.9148,338756.71875,0.19820353010209146,20.18594,0.01,816231.2209136963,0.2,-1.1920928955078125e-07,-11.246882905811072,4.917252540588379,210,0.9553680419921875
157.49,753664,23,1897,397,-3746.206,243090.390625,0.20782092293320603,47.81981,0.01,825851.5670227051,0.2,0.0,-13.005670757964253,9.572446823120117,220,0.967498779296875
159.62,786432,24,1983,396,-3861.2856,1288260.375,0.1720794730009402,49.383034,0.01,1569969.4055236815,0.2,0.0,-14.392000499367715,10.396854400634766,230,0.961053466796875
182.42,819200,25,2067,396,-4295.2305,884487.1875,0.17441774786748282,38.03627,0.01,1453429.2928070067,0.2,0.0,-14.68826739229262,12.07374382019043,240,0.9944610595703125
157.7,851968,26,2150,396,-4043.2131,1264660.375,0.16836894497919275,40.194096,0.01,1646089.0912414552,0.2,0.0,-15.771949598938226,15.287087440490723,250,0.9849639892578125
160.99,884736,27,2234,395,-3810.4429,1275171.5,0.17425852593751187,41.397068,0.01,1530953.977545166,0.2,0.0,-15.627907076850533,14.824790000915527,260,0.96058349609375
203.86,917504,28,2328,394,-5005.6475,846795.5625,0.17642173915937748,56.946674,0.01,1483455.727368164,0.2,0.0,-15.555894470214843,16.600080490112305,270,0.986553955078125
301.0,950272,29,2411,394,-566.1641,766686.3125,0.17054808272696392,3.4290028,0.01,1791302.6874206543,0.2,-1.1920928955078125e-07,-16.095280887931587,20.5853271484375,280,0.99053955078125
290.39,983040,30,2494,394,-4881.461,26588.73046875,0.1604202259566591,20.484728,0.01,526784.2421334267,0.2,0.0,-18.39620951935649,25.970056533813477,290,0.9057708740234375
230.67,1015808,31,2577,394,-7153.9976,252597.484375,0.09117663969755085,4.804358,0.01,818507.7205276489,0.2,-1.1920928955078125e-07,-18.730342923104764,32.05142593383789,300,0.598828125
