time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,rollout/ep_len_mean,time/iterations,train/n_updates,train/explained_variance,train/loss,train/clip_range,train/std,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/value_loss
32768,-2164.2732,58,558,202.93,1,,,,,,,,,,,
65536,-2101.426,185,353,195.0,2,320,-0.005338430404663086,2630.237060546875,0.2,0.8076667189598083,-4.836634497251362,0.227825927734375,0.011518670779469175,0.001,0.020813305,19096.801781868933
98304,-2153.3567,314,312,200.17,3,330,0.7861095368862152,4381.744140625,0.2,0.8053647875785828,-4.819468129891902,0.140869140625,0.005082139166461275,0.001,0.010869121,9408.5969945848
131072,-2221.5742,440,297,213.58,4,340,0.9161537364125252,3649.77880859375,0.2,0.8128340244293213,-4.811474456824362,0.135931396484375,0.0020199562487960066,0.001,0.007908478,5108.914765572548
163840,-2229.1836,566,289,217.35,5,350,0.9433236494660378,2316.536376953125,0.2,0.8188543319702148,-4.840522134304047,0.127691650390625,0.0003687554397401982,0.001,0.00880379,3757.433399489522
196608,-2335.3115,692,283,229.28,6,360,0.9270647615194321,169.68502807617188,0.2,0.821305513381958,-4.886685224343092,0.157977294921875,0.0007627095752241076,0.001,0.009936823,4651.393748219311
229376,-2361.0857,818,280,232.74,7,370,0.970571793615818,97.75259399414062,0.2,0.8261009454727173,-4.889110979158431,0.1796905517578125,-0.0014036555848178978,0.001,0.011130378,1546.7804193213583
262144,-2401.1775,943,277,241.33,8,380,0.9467334859073162,104.99274444580078,0.2,0.8310828804969788,-4.916050941590219,0.1911529541015625,-0.002867894404306526,0.001,0.014993038,3093.0002059847116
294912,-2488.4507,1068,276,262.6,9,390,0.9744677077978849,64.48748779296875,0.2,0.8363491296768188,-4.953301733918488,0.178143310546875,-0.004506342315994516,0.001,0.0138052935,1199.3189464055001
327680,-2063.547,1193,274,295.55,10,400,0.9508772641420364,2126.13525390625,0.2,0.8361190557479858,-4.960550971422345,0.20137939453125,-0.0036998738435613633,0.001,0.015126777,2511.551808324456
360448,-1725.9353,1318,273,300.03,11,410,0.6955367922782898,2146.00830078125,0.2,0.8358712196350098,-4.953091387543827,0.1641632080078125,0.0017639183236497046,0.001,0.012260928,10288.730792486667
393216,-1492.9957,1445,272,300.89,12,420,0.48710697889328003,5195.22265625,0.2,0.8336156010627747,-4.936951155029237,0.135577392578125,0.0012432441349119472,0.001,0.009517927,12923.713939452171
425984,-1388.4844,1573,270,300.97,13,430,0.44254541397094727,5551.87744140625,0.2,0.8312327861785889,-4.919855254981667,0.1057525634765625,0.0017962176334094693,0.001,0.006941113,8290.95228830576
458752,-1317.2449,1702,269,301.0,14,440,0.45595991611480713,2176.416259765625,0.2,0.8244145512580872,-4.918450611457229,0.114068603515625,0.001416128921823656,0.001,0.0071265586,7018.281990540027
491520,-1269.6093,1833,268,301.0,15,450,0.6014366447925568,2606.749755859375,0.2,0.8226341605186462,-4.882443173136562,0.100091552734375,0.0007998122808885455,0.001,0.005787406,4304.391614484787
524288,-1150.4226,1962,267,301.0,16,460,0.629668653011322,1671.874755859375,0.2,0.8206313848495483,-4.869324550032616,0.1034515380859375,0.0009820312086048944,0.001,0.0068847993,2965.4158602565526
557056,-1215.5573,2093,266,301.0,17,470,0.583993136882782,1373.82373046875,0.2,0.8161637783050537,-4.87464598538354,0.0946014404296875,0.000958560932213004,0.001,0.007924784,2594.07949847281
589824,-1171.6892,2224,265,301.0,18,480,0.8356067091226578,440.8614196777344,0.2,0.8121460676193237,-4.8228258864022795,0.111724853515625,0.0007042301123647121,0.001,0.008385202,1446.9392859399318
622592,-1237.6881,2357,264,301.0,19,490,0.8735629916191101,981.1817626953125,0.2,0.8095645308494568,-4.839090341981501,0.1115386962890625,0.0005252569018693975,0.001,0.0078282915,1166.168917682767
655360,-1303.7169,2489,263,300.95,20,500,0.8759972900152206,133.6215057373047,0.2,0.8012883067131042,-4.788229992147535,0.1143951416015625,0.00019140155379773204,0.001,0.0077871745,950.0401048570872
688128,-1474.0225,2621,262,299.85,21,510,0.7738043367862701,478.6603698730469,0.2,0.7949952483177185,-4.761495058145374,0.10128173828125,-0.0002416015697235707,0.001,0.0073568886,1298.3421154230832
720896,-1638.8799,2753,261,299.09,22,520,0.2703074812889099,3249.435546875,0.2,0.7940164804458618,-4.739765228517354,0.0999481201171875,0.00185236791026,0.001,0.0061863326,4113.428836736083
753664,-1403.6154,2885,261,300.56,23,530,-0.07770407199859619,515.075927734375,0.2,0.7890729308128357,-4.716125476825982,0.106268310546875,0.0016858233258972178,0.001,0.0090882,5195.658286110312
786432,-1211.8542,3018,260,300.98,24,540,0.11021041870117188,1951.724853515625,0.2,0.7906826734542847,-4.74313770532608,0.0728363037109375,0.0007885109460403327,0.001,0.0068013985,4620.125586802513
819200,-940.9615,3149,260,301.0,25,550,0.3819999098777771,1353.950439453125,0.2,0.782439112663269,-4.712805205024779,0.1200927734375,0.001360220331525852,0.001,0.009034981,2419.331807586551
851968,-1077.3042,3279,259,301.0,26,560,0.10782361030578613,705.511962890625,0.2,0.786601185798645,-4.687695312406868,0.1367279052734375,0.0026934852557815247,0.001,0.010530705,2326.6727938264607
884736,-902.5521,3410,259,301.0,27,570,0.6364480257034302,813.0507202148438,0.2,0.7790248394012451,-4.6704148793593045,0.13355712890625,-0.00015681153411151172,0.001,0.010409394,1273.013422767818
917504,-827.12555,3541,259,301.0,28,580,0.4845050573348999,234.73605346679688,0.2,0.7669592499732971,-4.624227287154644,0.130560302734375,0.0013260743553928477,0.001,0.011078471,1509.1583733960986
950272,-678.0822,3673,258,301.0,29,590,0.5150453448295593,287.858642578125,0.2,0.7541399002075195,-4.550765103008598,0.1283538818359375,0.0005311351229011052,0.001,0.009736664,1256.3545825541019
983040,-660.98,3804,258,301.0,30,600,0.03164893388748169,846.4747924804688,0.2,0.7441694140434265,-4.489474053494632,0.10755615234375,0.0026386456519048806,0.001,0.00798253,1485.6193948209286
1015808,-741.9414,3935,258,301.0,31,610,0.1719508171081543,275.46087646484375,0.2,0.7324565649032593,-4.4455892907455565,0.1127349853515625,0.0025055595573121535,0.001,0.008329038,1181.278934121877
