time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,train/clip_fraction,train/std,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/n_updates,train/clip_range,train/explained_variance,train/entropy_loss,train/learning_rate
58,301.0,32768,1,557,-236.06987,,,,,,,,,,,
161,301.0,65536,2,406,-147.97758,0.1142364501953125,0.996519148349762,-0.01252743560394265,104.97381214350462,0.0088162,40.582122802734375,10,0.2,-0.00020194053649902344,-5.668232614919543,1e-05
263,301.0,98304,3,373,6.177787,0.1164764404296875,0.9944121837615967,-0.013602298590421924,107.02798328697682,0.0091774175,50.665042877197266,20,0.2,2.2351741790771484e-05,-5.658349722344428,1e-05
364,301.0,131072,4,359,137.26622,0.120361328125,0.992668867111206,-0.014252923798539995,128.07057071477175,0.009528252,69.68043518066406,30,0.2,1.2516975402832031e-06,-5.649807177111507,1e-05
465,301.0,163840,5,351,205.85516,0.0906402587890625,0.9910460114479065,-0.007669293560570623,2379.7095980256795,0.007425135,137.44976806640625,40,0.2,0.0038390755653381348,-5.643586255051195,1e-05
566,301.0,196608,6,346,119.75419,0.077349853515625,0.9886291027069092,-0.005056583737905384,3495.2398991942405,0.0063761896,6957.29541015625,50,0.2,0.0041084885597229,-5.635186433419586,1e-05
668,301.0,229376,7,343,97.29575,0.0714447021484375,0.986153781414032,-0.005777057765976678,1641.44086509645,0.0061942423,111.6952133178711,60,0.2,0.001780390739440918,-5.624192191287875,1e-05
769,301.0,262144,8,340,49.71573,0.0500762939453125,0.9841393232345581,-0.004224705839351373,2039.3180567532777,0.0053219534,158.91897583007812,70,0.2,0.003453493118286133,-5.615614649094641,1e-05
871,301.0,294912,9,338,-32.158688,0.0345062255859375,0.9819236993789673,-0.002947669644390771,1436.7734454602003,0.0044876263,117.4580078125,80,0.2,0.025177359580993652,-5.607684319466353,1e-05
972,301.0,327680,10,336,-61.482452,0.02213134765625,0.9803764224052429,-0.0022721522686197206,269.43788944482804,0.0041638976,104.19114685058594,90,0.2,0.4299858808517456,-5.599673249851913,1e-05
1075,301.0,360448,11,335,-84.14599,0.017779541015625,0.9795903563499451,-0.0017335077747475224,619.064345625043,0.0038546713,129.0954132080078,100,0.2,0.5655027627944946,-5.594890553411096,1e-05
1178,301.0,393216,12,333,-125.24815,0.0136322021484375,0.9781363010406494,-0.001255484544662977,706.746477290988,0.0033305492,190.56192016601562,110,0.2,0.6799614429473877,-5.590502221975475,1e-05
1291,301.0,425984,13,329,-135.60283,0.0098419189453125,0.9768986701965332,-0.0011498497055526969,502.2792980670929,0.0033016363,250.35122680664062,120,0.2,0.7901346385478973,-5.58494030861184,1e-05
1401,301.0,458752,14,327,-105.81873,0.006121826171875,0.9769830703735352,-0.000625839494500724,1135.9573971271516,0.0031348295,247.5266571044922,130,0.2,0.682608425617218,-5.582834338862449,1e-05
1510,301.0,491520,15,325,-92.50444,0.0099212646484375,0.976292610168457,-0.0009736602935618066,1366.8534762620925,0.0037197936,253.07081604003906,140,0.2,0.6543625891208649,-5.581400974188,1e-05
1619,301.0,524288,16,323,6.6956334,0.0121246337890625,0.9765045642852783,-0.0011808267325704946,450.4562884092331,0.0040340205,264.3156433105469,150,0.2,0.8483370244503021,-5.580514320638031,1e-05
1732,301.0,557056,17,321,17.382166,0.016259765625,0.9760738611221313,-0.0020025979966703743,982.9736398011446,0.00431714,220.02357482910156,160,0.2,0.7170705795288086,-5.579968252684921,1e-05
1847,301.0,589824,18,319,-33.007217,0.00106201171875,0.975788950920105,-0.0003491388556540187,1259.0203925311566,0.0025834378,174.7030792236328,170,0.2,0.6770968437194824,-5.578112327493727,1e-05
1961,301.0,622592,19,317,-69.12745,0.0045257568359375,0.976467490196228,-0.0004808135178791417,1529.1835163772107,0.0029955236,252.58607482910156,180,0.2,0.65898397564888,-5.579195678979159,1e-05
2073,301.0,655360,20,316,-24.790987,0.0116790771484375,0.9759290814399719,-0.0010962686884795404,1870.179135966301,0.0038143443,307.0362548828125,190,0.2,0.6475280523300171,-5.579536537919194,1e-05
2183,301.0,688128,21,315,33.864086,0.022039794921875,0.9751437902450562,-0.0021273926661251608,767.5094558030366,0.0043738885,204.87149047851562,200,0.2,0.7962300330400467,-5.57704695770517,1e-05
2292,301.0,720896,22,314,108.99233,0.0181884765625,0.9748013615608215,-0.0021273263679177034,1250.9840282082557,0.0043216585,240.60348510742188,210,0.2,0.6829111576080322,-5.574689500406384,1e-05
2401,301.0,753664,23,313,65.63141,0.025726318359375,0.9743241667747498,-0.0023743712633859104,1832.7828258097172,0.0045182407,234.8745574951172,220,0.2,0.5804526805877686,-5.572572396323085,1e-05
2513,301.0,786432,24,312,117.77974,0.020001220703125,0.9736098051071167,-0.0019393071059312205,677.2573034197092,0.0042559085,204.82766723632812,230,0.2,0.7453602850437164,-5.5700311426073315,1e-05
2623,301.0,819200,25,312,149.6564,0.019268798828125,0.9733412265777588,-0.0016151280132817192,1497.9128628462554,0.0038993848,736.2958984375,240,0.2,0.5512718558311462,-5.567979351896793,1e-05
2734,301.0,851968,26,311,177.73282,0.04034423828125,0.9719103574752808,-0.0035601767316165932,1158.8414929270743,0.0051745316,166.5529022216797,250,0.2,0.5104821622371674,-5.5647093922831115,1e-05
2844,301.0,884736,27,311,127.94618,0.0237823486328125,0.9704476594924927,-0.0024740721322359604,1228.7029103428126,0.00427913,202.57144165039062,260,0.2,0.493263304233551,-5.558572640456259,1e-05
2949,301.0,917504,28,311,144.05608,0.01641845703125,0.9695506691932678,-0.0015365787264272513,2351.120561811328,0.0044243634,217.51983642578125,270,0.2,0.39647573232650757,-5.553527461737394,1e-05
3054,301.0,950272,29,311,145.50969,0.0358734130859375,0.968103289604187,-0.0031978698811371943,1306.9906524509192,0.0050427476,252.8321533203125,280,0.2,0.5432386994361877,-5.548718217853457,1e-05
3162,301.0,983040,30,310,215.03383,0.017352294921875,0.9670099020004272,-0.0017195396667148088,1469.3986152976752,0.0039879223,228.62081909179688,290,0.2,0.5455262959003448,-5.543097400479018,1e-05
